"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",29.307,25.8
"2021_8_26_10_2",28.616,25.7
"2021_8_26_10_3",25.063,24.8
"2021_8_26_11_0",27.049,25.3
"2021_8_26_11_1",25.671,25.6
"2021_8_26_11_2",27.275,26.9
"2021_8_26_11_3",28.123,27.8
"2021_8_26_12_0",29.057,28.3
"2021_8_26_12_1",31.647,30.1
"2021_8_26_12_2",31.225,30.1
"2021_8_26_12_3",30.866,29.7
"2021_8_26_13_0",32.198,30.3
"2021_8_26_13_1",31.805,31.6
"2021_8_26_13_2",29.474,31.8
"2021_8_26_13_3",31.254,31.5
"2021_8_26_14_0",31.026,31.7
"2021_8_26_14_1",31.134,32.1
"2021_8_26_14_2",30.235,32.1
"2021_8_26_14_3",31.18,31.5
"2021_8_26_15_0",30.43,31.9
"2021_8_26_15_1",29.982,32.1
"2021_8_26_15_2",29.798,31.7
"2021_8_26_15_3",30.302,31.9
"2021_8_26_16_0",31.424,31.7
"2021_8_26_16_1",31.241,32.1
"2021_8_26_16_2",30.632,31
"2021_8_26_16_3",30.107,30.4
"2021_8_26_17_0",30.147,30.5
"2021_8_26_17_1",30.432,29.9
"2021_8_26_17_2",31.119,29.4
"2021_8_26_17_3",30.447,28.8
"2021_8_26_18_0",30.402,28
"2021_8_26_18_1",30.5,28
"2021_8_26_18_2",28.546,27.4
"2021_8_26_18_3",27.461,26.9
"2021_8_26_19_0",26.951,26.2
"2021_8_26_19_1",26.231,25.7
"2021_8_26_19_2",25.354,24.7
"2021_8_26_19_3",24.341,23.8
"2021_8_26_20_0",23.225,22.5
"2021_8_26_20_1",22.123,21.6
"2021_8_26_20_2",21.418,21.1
"2021_8_26_20_3",21.272,21.1
"2021_8_26_21_0",21.731,20.9
"2021_8_26_21_1",21.225,20.6
"2021_8_26_21_2",21.038,20.4
"2021_8_26_21_3",20.899,20.5
"2021_8_26_22_0",21.68,21.1
"2021_8_26_22_1",22.835,21.9
"2021_8_26_22_2",22.887,21.9
"2021_8_26_22_3",22.874,21.9
"2021_8_26_23_0",22.748,21.7
"2021_8_26_23_1",22.752,21.6
"2021_8_26_23_2",22.52,21.5
"2021_8_26_23_3",22.573,21.5
"2021_8_27_0_0",22.411,21.3
"2021_8_27_0_1",22.281,21.3
"2021_8_27_0_2",22.218,21.2
"2021_8_27_0_3",21.921,21
"2021_8_27_1_0",21.86,20.8
"2021_8_27_1_1",21.488,20.5
"2021_8_27_1_2",21.572,20.6
"2021_8_27_1_3",21.634,20.6
"2021_8_27_2_0",21.315,20.2
"2021_8_27_2_1",21.059,20.1
"2021_8_27_2_2",21.014,20
"2021_8_27_2_3",21.208,20.1
"2021_8_27_3_0",21.105,20
"2021_8_27_3_1",21.211,20.1
"2021_8_27_3_2",21.167,20
"2021_8_27_3_3",20.44,19.5
"2021_8_27_4_0",19.877,19.1
"2021_8_27_4_1",19.795,19
"2021_8_27_4_2",19.479,18.8
"2021_8_27_4_3",19.108,18.4
"2021_8_27_5_0",18.809,18.2
"2021_8_27_5_1",18.695,18
"2021_8_27_5_2",18.496,17.8
"2021_8_27_5_3",18.273,17.5
"2021_8_27_6_0",18.068,17.3
"2021_8_27_6_1",18.048,17.4
"2021_8_27_6_2",18.256,17.4
"2021_8_27_6_3",18.271,17.5
"2021_8_27_7_0",17.995,17.2
"2021_8_27_7_1",17.709,17
"2021_8_27_7_2",17.559,16.9
"2021_8_27_7_3",17.584,16.9
