"target","distanza_da_centralina_cm","anno_acquisizione","mese_acquisizione","settimana_acquisizione_su_anno","giorno_acquisizione_su_anno","giorno_acquisizione_su_mese","giorno_acquisizione_su_settimana","ora_acquisizione","timestamp_normalizzato","Barometer_HPa","Temp__C","HighTemp__C","LowTemp__C","Hum__","DewPoint__C","WetBulb__C","WindSpeed_Km_h","WindRun_Km","HighWindSpeed_Km_h","WindChill__C","HeatIndex__C","THWIndex__C","THSWIndex__C","Rain_Mm","RainRate_Mm_h","SolarRad_W_m_2","SolarEnergy_Ly","HighSolarRad_W_m_2","ET_Mm","HeatingDegreeDays","CoolingDegreeDays","Humidity__RH_","Solar_klux_","evja_temp","WindDirection_","HighWindDirection_","UVIndex_","UVDose_MEDs_","HighUVIndex_"
27.497,1349,2021,8,34,238,26,4,11,"2021_8_26_11_2",1009.2,24.4,24.5,24.1,47,12.4,15.5,4.8,1.21,17.7,24.4,24.2,24.2,28.6,0,0,435,9.36,605,0,0,0.064,53.6,39,26.9,0,0,0,0,0
28.16,1349,2021,8,34,238,26,4,11,"2021_8_26_11_3",1009.1,24.9,24.9,24.5,47,12.9,15.9,3.2,0.8,8,24.9,24.7,24.7,30.1,0,0,549,11.81,963,0,0,0.069,51,40,27.8,1,1,0,0,0
28.422,1349,2021,8,34,238,26,4,12,"2021_8_26_12_0",1008.9,25.2,25.2,24.9,45,12.4,15.6,4.8,1.21,11.3,25.2,24.8,24.8,29.7,0,0,501,10.78,652,0.36,0,0.071,42.6,31,28.3,2,2,0,0,0
30.756,1349,2021,8,34,238,26,4,12,"2021_8_26_12_1",1008.4,25.6,25.6,25.2,45,12.7,15.9,4.8,1.21,11.3,25.6,25.2,25.2,31.4,0,0,783,16.84,849,0,0,0.075,50.4,43,30.1,2,3,0,0,0
31.133,1349,2021,8,34,238,26,4,12,"2021_8_26_12_2",1008,25.8,25.8,25.6,46,13.3,16.4,4.8,1.21,12.9,25.8,25.5,25.5,31.8,0,0,759,16.33,765,0,0,0.078,37.2,46,30.1,3,2,0,0,0
30.779,1349,2021,8,34,238,26,4,12,"2021_8_26_12_3",1008.2,26.1,26.1,25.8,46,13.5,16.6,6.4,1.61,14.5,26.1,25.8,25.8,32.1,0,0,777,16.71,786,0,0,0.08,43.2,62,29.7,4,3,0,0,0
31.532,1349,2021,8,34,238,26,4,13,"2021_8_26_13_0",1007.8,26.3,26.5,26.1,43,12.8,16,6.4,1.61,17.7,26.3,25.9,25.9,32.1,0,0,789,16.97,800,0.53,0,0.083,43.8,64,30.3,2,0,0,0,0
31.488,1349,2021,8,34,238,26,4,13,"2021_8_26_13_1",1008.1,26.9,26.9,26.3,46,14.3,17.3,6.4,1.61,16.1,26.9,26.7,26.7,32.9,0,0,831,17.88,861,0,0,0.09,46.4,66,31.6,4,2,0,0,0
29.252,1349,2021,8,34,238,26,4,13,"2021_8_26_13_2",1007.9,26.7,26.9,26.7,47,14.5,17.4,9.7,2.41,17.7,26.7,26.6,26.6,32.9,0,0,807,17.36,849,0,0,0.087,36.7,61,31.8,5,2,0,0,0
30.372,1349,2021,8,34,238,26,4,13,"2021_8_26_13_3",1008,26.9,26.9,26.7,46,14.3,17.2,6.4,1.61,17.7,26.9,26.7,26.7,33,0,0,793,17.06,803,0,0,0.089,39.9,60,31.5,6,3,0,0,0
30.197,1349,2021,8,34,238,26,4,14,"2021_8_26_14_0",1007.6,27.2,27.3,26.9,46,14.6,17.5,8,2.01,22.5,27.2,27,27,33.4,0,0,792,17.04,810,0.58,0,0.093,36,60,31.7,5,2,0,0,0
30.073,1349,2021,8,34,238,26,4,14,"2021_8_26_14_1",1007.7,27.3,27.3,27.1,48,15.3,18.1,6.4,1.61,22.5,27.3,27.3,27.3,33.6,0,0,781,16.8,786,0,0,0.093,38.4,54,32.1,7,3,0,0,0
29.238,1349,2021,8,34,238,26,4,14,"2021_8_26_14_2",1007,27.3,27.4,27.2,45,14.3,17.3,11.3,2.82,19.3,27.3,27,27,33.1,0,0,769,16.54,786,0,0,0.093,36.1,46,32.1,5,2,0,0,0
29.49,1349,2021,8,34,238,26,4,14,"2021_8_26_14_3",1006.9,27.6,27.7,27.3,46,14.9,17.8,8,2.01,22.5,27.6,27.5,27.5,33.8,0,0,749,16.11,763,0,0,0.097,39.4,54,31.5,5,4,0,0,0
29.095,1349,2021,8,34,238,26,4,15,"2021_8_26_15_0",1006.7,27.4,27.7,27.3,50,16,18.6,9.7,2.41,19.3,27.4,27.6,27.6,33.9,0,0,729,15.68,752,0.56,0,0.094,39.5,53,31.9,5,0,0,0,0
